step	loss
0	3279.18359375
1	3273.47607421875
2	3273.1826171875
3	3273.0849609375
4	3273.041259765625
5	3273.01611328125
6	3273.000732421875
7	3272.9873046875
8	3272.981201171875
9	3272.977294921875
10	3272.970458984375
11	3272.96875
12	3272.9638671875
13	3272.96435546875
14	3272.964111328125
15	3272.961181640625
16	3272.96142578125
17	3272.960205078125
18	3272.960693359375
19	3272.960205078125
20	3272.95947265625
21	3272.958740234375
22	3272.95703125
23	3272.9580078125
24	3272.95751953125
25	3272.955810546875
26	3272.95703125
27	3272.95751953125
28	3272.95654296875
29	3272.95751953125
30	3272.95947265625
31	3272.956787109375
32	3272.955322265625
33	3272.95703125
34	3272.955810546875
35	3272.956787109375
36	3272.956298828125
37	3272.95703125
38	3272.9580078125
39	3272.95458984375
40	3272.955810546875
41	3272.9599609375
42	3272.958984375
43	3272.95654296875
44	3272.958740234375
45	3272.95751953125
