step	r_squared
0	-68.1450424194336
1	-60.12773513793945
2	-43.66843032836914
3	-24.038740158081055
4	-8.89945125579834
5	-1.9377185106277466
6	-0.1980772614479065
7	0.04478323087096214
8	0.09210096299648285
9	0.08319554477930069
10	0.13631223142147064
11	0.15951696038246155
12	0.15510520339012146
13	0.18613149225711823
14	0.2028639316558838
15	0.22578327357769012
16	0.23912303149700165
17	0.25228312611579895
18	0.2699645757675171
19	0.28821784257888794
20	0.2972749173641205
21	0.3197113275527954
22	0.31965088844299316
23	0.332710862159729
24	0.3498145043849945
25	0.3617693781852722
26	0.37933558225631714
27	0.3649512231349945
28	0.3979780673980713
29	0.40031343698501587
30	0.41308823227882385
31	0.4315950274467468
32	0.4400244355201721
33	0.4381563365459442
34	0.4555247724056244
